Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm1397313,2017-04-09,2017-04-09,,The Beatles,The Beatles Anthology,
2,nm0001391,2017-04-09,2017-04-09,,Michael Jackson,Michael Jackson: Thriller,1958-08-29
3,nm0005567,2017-04-09,2017-04-09,,Stevie Wonder,Wild Wild West,1950-05-13
4,nm1213869,2017-04-09,2017-04-09,,The Rolling Stones,The Boat That Rocked,1962-07-12
5,nm0113768,2017-04-09,2017-04-09,,James Brown,The Blues Brothers,1933-05-03
6,nm0496389,2017-04-09,2017-04-09,,Led Zeppelin,The Song Remains the Same,
7,nm0001168,2017-04-09,2017-04-09,,Bob Dylan,Renaldo and Clara,1941-05-24
8,nm0001342,2017-04-09,2017-04-09,,Jimi Hendrix,Woodstock,1942-11-27
9,nm0002239,2017-04-09,2017-04-09,,Prince,Under the Cherry Moon,1958-06-07
10,nm0002490,2017-04-09,2017-04-09,,Bob Marley,I Am Legend,1945-02-06
11,nm0000062,2017-04-09,2017-04-09,,Elvis Presley,Girls! Girls! Girls!,1935-01-08
12,nm0000309,2017-04-09,2017-04-09,,David Bowie,The Man Who Fell to Earth,1947-01-08
13,nm0310848,2017-04-09,2017-04-09,,Marvin Gaye,High Fidelity,1939-04-02
14,nm0000187,2017-04-09,2017-04-09,,Madonna,A League of Their Own,1958-08-16
15,nm0969139,2017-04-09,2017-04-09,,Pink Floyd,Tang shan da xiong,
16,nm1277102,2017-04-09,2017-04-09,,Queen,Flash Gordon,
17,nm0000637,2017-05-10,2017-05-10,,Tupac Shakur,Juice,1971-06-16
18,nm1277963,2017-04-09,2017-04-09,,The Who,The Kids Are Alright,
19,nm0001365,2017-05-10,2017-05-10,,Whitney Houston,The Bodyguard,1963-08-09
20,nm1274814,2017-04-09,2017-04-09,,The Beach Boys,The Boat That Rocked,
21,nm0857263,2017-05-10,2017-05-10,,The Notorious B.I.G.,Notorious,1972-05-21
22,nm1110321,2017-04-09,2017-04-09,,Nirvana,The Batman,
23,nm0009540,2017-04-13,2017-04-13,,AC/DC,Iron Man,
24,nm0621576,2017-06-19,2017-06-19,,Nas,Belly,1973-09-14
25,nm0001946,2017-04-13,2017-04-13,,Chuck Berry,Men in Black,1926-10-18
26,nm0291349,2017-04-13,2017-04-13,,Aretha Franklin,The Blues Brothers,1942-03-25
27,nm0419650,2017-12-14,2017-12-14,,Jay-Z,The Harder They Fall,1969-12-04
29,nm0877913,2017-04-13,2017-04-13,,Tina Turner,Mad Max Beyond Thunderdome,1939-11-26
29,nm0143599,2017-04-13,2017-04-13,,Johnny Cash,The Johnny Cash Show,1932-02-26
29,nm1577190,2017-05-10,2017-05-10,,Ye,The Great Gatsby,1977-06-08
31,nm0005056,2017-04-13,2017-04-13,,Elton John,Kingsman: The Golden Circle,1947-03-25
32,nm1502648,2017-05-10,2017-05-10,,The Clash,Grosse Pointe Blank,
32,nm0892754,2017-05-10,2017-05-10,,The Velvet Underground,Men in Black 3,
34,nm0006168,2017-04-13,2017-04-13,,John Lennon,A Hard Day's Night,1940-10-09
35,nm1277752,2017-04-13,2017-04-13,,U2,Morning Joe,
36,nm0005384,2017-05-10,2017-05-10,,Diana Ross,The Wiz,1944-03-26
37,nm1655276,2017-05-10,2017-05-10,,Guns N' Roses,Body of Lies,
38,nm0819803,2017-04-13,2017-04-13,,Bruce Springsteen,Blinded by the Light,1949-09-23
39,nm0005200,2017-04-13,2017-04-13,,Paul McCartney,Sgt. Pepper's Lonely Hearts Club Band,1942-06-18
40,nm1401980,2017-05-10,2017-05-10,,The Doors,The Doors,
41,nm0004896,2017-05-10,2017-05-10,,Eminem,8 Mile,1972-10-17
42,nm0153124,2017-05-10,2017-05-10,,Ray Charles,The Blues Brothers,1930-09-23
44,nm0005153,2017-05-10,2017-05-10,,Little Richard,Last Action Hero,1932-12-05
45,nm1478123,2017-05-10,2017-05-10,,Eagles,Shang-Chi and the Legend of the Ten Rings,
45,nm2162228,2017-05-10,2017-05-10,,Public Enemy,Do the Right Thing,
46,nm0455661,2017-05-10,2017-05-10,,The Kinks,The Boat That Rocked,
47,nm0593474,2017-05-10,2017-05-10,,Joni Mitchell,Two Weeks Notice,1943-11-07
48,nm0461498,2017-05-10,2017-05-10,,Beyoncé,Dreamgirls,1981-09-04
49,nm3746374,2017-05-10,2017-05-10,,Parliament Funkadelic,Funk Wars,
