Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0930729,2014-05-06,2014-05-06,,Hank Williams,The Last Picture Show,1923-09-17
2,nm0000069,2014-05-06,2014-05-06,,Frank Sinatra,From Here to Eternity,1915-12-12
3,nm0225775,2014-05-06,2014-05-06,,Bo Diddley,Blues Brothers 2000,1928-12-30
4,nm0153124,2014-05-06,2014-05-06,,Ray Charles,The Blues Brothers,1930-09-23
5,nm0005153,2014-05-06,2014-05-06,,Little Richard,Last Action Hero,1932-12-05
6,nm0454475,2014-05-06,2014-05-06,,B.B. King,Blues Brothers 2000,1925-09-16
7,nm0391398,2014-05-06,2014-05-06,,Buddy Holly,Big Fish,1936-09-07
8,nm0177492,2014-05-06,2014-05-06,,Sam Cooke,Innerspace,1931-01-22
9,nm0000062,2014-05-06,2014-05-06,,Elvis Presley,Girls! Girls! Girls!,1935-01-08
10,nm0143599,2014-05-06,2014-05-06,,Johnny Cash,The Johnny Cash Show,1932-02-26
11,nm0113768,2014-05-06,2014-05-06,,James Brown,The Blues Brothers,1933-05-03
12,nm0507350,2014-05-06,2014-05-06,,Jerry Lee Lewis,Grease,1935-09-29
13,nm6381567,2014-05-06,2014-05-06,,Smokey Robinson & The Miracles,Hollywood Homicide,
14,nm0001946,2014-05-06,2014-05-06,,Chuck Berry,Men in Black,1926-10-18
15,nm0291349,2014-05-06,2014-05-06,,Aretha Franklin,The Blues Brothers,1942-03-25
16,nm0005268,2014-05-06,2014-05-06,,Willie Nelson,Wag the Dog,1933-04-29
17,nm3061241,2014-05-06,2014-05-06,,Simon & Garfunkel,Watchmen,
18,nm2149016,2014-05-06,2014-05-06,,The Everly Brothers,Bull Durham,
19,nm0714727,2014-05-06,2014-05-06,,Otis Redding,Top Gun,1941-09-09
20,nm0310848,2014-05-06,2014-05-06,,Marvin Gaye,High Fidelity,1939-04-02
21,nm0607341,2014-05-06,2014-05-06,,Van Morrison,Belfast,1945-08-31
22,nm0839508,2014-05-06,2014-05-06,Diana Ross & the Supremes,The Supremes,The Sixth Sense,
23,nm0001168,2014-05-06,2014-05-06,,Bob Dylan,Renaldo and Clara,1941-05-24
24,nm1397313,2014-05-06,2014-05-06,,The Beatles,The Beatles Anthology,
25,nm0949918,2014-05-06,2014-05-06,,Neil Young,Dead Man,1945-11-12
26,nm1100552,2014-05-06,2014-05-06,,The Temptations,Ready Player One,
27,nm0877913,2014-05-06,2014-05-06,,Tina Turner,Mad Max Beyond Thunderdome,1939-11-26
28,nm0005465,2014-05-06,2014-05-06,,Rod Stewart,Innerspace,1945-01-10
29,nm0005567,2014-05-06,2014-05-06,,Stevie Wonder,Wild Wild West,1950-05-13
30,nm1274814,2014-05-06,2014-05-06,,The Beach Boys,The Boat That Rocked,
31,nm0429767,2014-05-06,2014-05-06,,Janis Joplin,Watchmen,1943-01-19
32,nm1335503,2014-05-06,2014-05-06,,The Righteous Brothers,Shindig!,
33,nm0002490,2014-05-06,2014-05-06,,Bob Marley,I Am Legend,1945-02-06
34,nm0000309,2014-05-06,2014-05-06,,David Bowie,The Man Who Fell to Earth,1947-01-08
35,nm1213869,2014-05-06,2014-05-06,,The Rolling Stones,The Boat That Rocked,1962-07-12
36,nm0001342,2014-05-06,2014-05-06,,Jimi Hendrix,Woodstock,1942-11-27
37,nm0004840,2014-05-06,2014-05-06,,Alice Cooper,Wayne's World,1948-02-04
38,nm0892754,2014-05-06,2014-05-06,,The Velvet Underground,Men in Black 3,
39,nm1533050,2014-05-06,2014-05-06,,Lynyrd Skynyrd,Kingsman: The Secret Service,
40,nm1277963,2014-05-06,2014-05-06,,The Who,The Kids Are Alright,
41,nm0005055,2014-05-06,2014-05-06,,Billy Joel,Oliver & Company,1949-05-09
