Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0419650,2014-08-07,2014-08-07,,Jay-Z,The Harder They Fall,1969-12-04
2,nm0857263,2014-08-07,2014-08-07,,The Notorious B.I.G.,Notorious,1972-05-21
3,nm0621576,2014-08-07,2014-08-07,,Nas,Belly,1973-09-14
4,nm0000637,2014-08-07,2014-08-07,,Tupac Shakur,Juice,1971-06-16
5,nm0004896,2014-08-07,2014-08-07,,Eminem,8 Mile,1972-10-17
6,nm0707582,2014-08-07,2014-08-07,,Rakim,Juice,1968-01-28
7,nm1505820,2014-08-07,2014-08-07,,Run-D.M.C.,Die Hard,
8,nm1164661,2014-08-07,2014-08-07,,Kool G Rap,Colors,1964-07-20
9,nm0437263,2014-08-07,2014-08-07,,Big Daddy Kane,Colors,1968-09-10
10,nm0625099,2020-02-15,2020-02-15,,Nelly,The Longest Yard,1974-11-02
11,nm0071275,2014-08-07,2014-08-07,,André 3000,Four Brothers,1975-05-27
12,nm0873699,2014-08-08,2014-08-08,,Tariq Trotter,Zoolander 2,1971-10-03
13,nm1013044,2014-08-08,2014-08-08,,Drake,Degrassi: The Next Generation,1986-10-24
14,nm0769153,2014-08-07,2014-08-07,,Scarface,Narc,1970-11-09
15,nm0236564,2014-08-07,2014-08-07,,Dr. Dre,Training Day,1965-02-18
16,nm1292361,2014-08-07,2014-08-07,,The GZA,Coffee and Cigarettes,1966-08-22
17,nm1577190,2014-08-08,2014-08-08,,Ye,The Great Gatsby,1977-06-08
18,nm0247924,2014-08-07,2014-08-07,,Eazy-E,Harsh Times,1964-09-07
19,nm0472398,2014-08-07,2014-08-07,,KRS-One,The Manchurian Candidate,1965-08-20
20,nm0080049,2014-08-07,2014-08-07,,Yasiin Bey,The Italian Job,1973-12-11
21,nm0005012,2014-08-07,2014-08-07,,Lauryn Hill,Sister Act 2: Back in the Habit,1975-05-26
22,nm0195982,2014-08-07,2014-08-07,,Chuck D,Star Trek Beyond,1960-08-01
23,nm1211443,2014-08-08,2014-08-08,,Lil' Wayne,Suicide Squad,1982-09-27
24,nm0996669,2014-08-07,2014-08-07,,Common,John Wick: Chapter 2,1972-03-13
25,nm0725428,2014-08-07,2014-08-07,,Slick Rick,Face/Off,1965-01-14
26,nm5302509,2014-08-08,2014-08-08,,Kendrick Lamar,Black Panther,1987-06-17
27,nm0001084,2014-08-07,2014-08-07,,Ice Cube,Friday,1969-06-15
28,nm1394399,2014-08-08,2014-08-08,,Pharoahe Monch,Training Day,1972-10-31
29,nm0004879,2014-08-08,2014-08-08,,Snoop Dogg,Training Day,1971-10-20
30,nm0315932,2014-08-07,2014-08-07,,Ghostface Killah,Iron Man,1970-05-09
31,nm0005112,2014-08-07,2014-08-07,,LL Cool J,Deep Blue Sea,1968-01-14
32,nm1265067,2014-08-07,2014-08-07,,50 Cent,Get Rich or Die Tryin',1975-07-06
33,nm1244543,2014-08-08,2014-08-08,,Fabolous,Blade II,1977-11-18
34,nm0524839,2020-02-15,2020-02-15,,Ludacris,Crash,1977-09-11
35,nm0541218,2014-08-08,2014-08-08,,Method Man,How High,1971-03-02
36,nm0714983,2014-08-07,2014-08-07,,Redman,How High,1970-04-17
37,nm2279562,2014-08-07,2014-08-07,,Lamont Coleman,Transporter 3,1974-05-30
38,nm0001384,2014-08-07,2014-08-07,,Ice-T,New Jack City,1958-02-16
39,nm1159305,2014-08-08,2014-08-08,,Jadakiss,Blade II,1975-05-22
40,nm0190246,2014-08-08,2014-08-08,,AZ,Bulworth,
41,nm0229422,2014-08-08,2014-08-08,,DMX,Exit Wounds,1970-12-18
42,nm0529310,2014-08-08,2014-08-08,,MC Lyte,Girls Trip,1971-10-11
43,nm1950811,2014-08-08,2014-08-08,,Royce Da 5'9'',Fast Five,1977-07-05
44,nm1939267,2014-08-08,2014-08-08,,T.I.,Ant-Man and the Wasp,1980-09-25
45,nm3359577,2014-08-08,2014-08-08,,J. Cole,Project X,1985-01-28
46,nm1004112,2014-08-08,2014-08-08,,Cam'ron,Killa Season,1976-02-04
47,nm0797421,2014-08-08,2014-08-08,,Beanie Sigel,State Property,1974-03-06
